epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,251.343,1.21823,0.83224,1.30461,0.61877,0.62857,0.64167,0.31101,1.72084,1.16257,1.77639,0.000742625,0.000742625,0.000742625
43,256.194,1.21503,0.81352,1.27861,0.69358,0.62314,0.67867,0.35134,1.65225,1.10767,1.78538,0.00073025,0.00073025,0.00073025
44,261.573,1.21458,0.83543,1.28642,0.6678,0.69068,0.71993,0.36166,1.62384,1.07177,1.76202,0.000717875,0.000717875,0.000717875
45,266.607,1.21711,0.81445,1.2852,0.65757,0.70628,0.69605,0.34765,1.65202,1.10056,1.77831,0.0007055,0.0007055,0.0007055
46,271.995,1.1962,0.82775,1.28466,0.62199,0.65652,0.65342,0.34877,1.62059,1.09631,1.77243,0.000693125,0.000693125,0.000693125
47,277.735,1.17052,0.79494,1.26055,0.73041,0.68373,0.71945,0.37595,1.60662,0.9861,1.75393,0.00068075,0.00068075,0.00068075
48,283.247,1.18074,0.78927,1.26749,0.66181,0.65855,0.68299,0.35526,1.64999,1.05097,1.79397,0.000668375,0.000668375,0.000668375
49,288.261,1.16392,0.77186,1.25372,0.67446,0.66885,0.70371,0.36336,1.62103,1.04697,1.74132,0.000656,0.000656,0.000656
50,293.145,1.11793,0.74822,1.23596,0.69248,0.63924,0.68479,0.35106,1.67343,1.06331,1.82858,0.000643625,0.000643625,0.000643625
51,298.112,1.14478,0.75549,1.24286,0.70619,0.60784,0.66917,0.34609,1.63913,1.15205,1.77572,0.00063125,0.00063125,0.00063125
52,303.053,1.15088,0.76286,1.24704,0.68332,0.69769,0.72429,0.36487,1.63952,1.0343,1.80224,0.000618875,0.000618875,0.000618875
53,309.282,1.10214,0.73856,1.23254,0.71962,0.70362,0.7308,0.37116,1.62857,0.99512,1.80624,0.0006065,0.0006065,0.0006065
54,316.236,1.11052,0.72886,1.23112,0.74548,0.65098,0.71038,0.36333,1.62068,1.05859,1.78755,0.000594125,0.000594125,0.000594125
55,322.363,1.10368,0.73199,1.21669,0.68026,0.65985,0.67543,0.33536,1.72295,1.06987,1.88029,0.00058175,0.00058175,0.00058175
56,329.896,1.09507,0.73088,1.22076,0.68737,0.68026,0.72184,0.37761,1.62804,1.03499,1.79732,0.000569375,0.000569375,0.000569375
57,336.128,1.05402,0.71147,1.19188,0.73099,0.67011,0.72243,0.37596,1.65249,1.03104,1.83142,0.000557,0.000557,0.000557
58,341.34,1.0727,0.69405,1.19643,0.74948,0.64003,0.70755,0.36798,1.64008,1.04123,1.82165,0.000544625,0.000544625,0.000544625
59,346.379,1.06951,0.71075,1.20655,0.71462,0.67717,0.727,0.38751,1.61416,1.00497,1.78504,0.00053225,0.00053225,0.00053225
60,352.412,1.03481,0.67738,1.17823,0.67156,0.66267,0.68201,0.35756,1.63438,1.07954,1.8157,0.000519875,0.000519875,0.000519875
61,357.636,1.04285,0.68458,1.17999,0.6982,0.67648,0.69613,0.36506,1.64914,1.02,1.84542,0.0005075,0.0005075,0.0005075
62,363.78,1.05105,0.67853,1.18388,0.75727,0.65263,0.71351,0.37818,1.59547,0.98771,1.78459,0.000495125,0.000495125,0.000495125
63,369.351,1.01359,0.65614,1.17109,0.73128,0.66138,0.72349,0.39446,1.59551,0.9938,1.8047,0.00048275,0.00048275,0.00048275
64,374.431,1.00641,0.64971,1.16691,0.75202,0.66025,0.7225,0.38002,1.62421,1.01926,1.80714,0.000470375,0.000470375,0.000470375
65,379.193,0.9753,0.63578,1.14985,0.79102,0.71483,0.76865,0.40812,1.58204,0.95818,1.81389,0.000458,0.000458,0.000458
66,384.209,0.97601,0.62335,1.14538,0.72969,0.65905,0.72588,0.40135,1.58471,1.04493,1.79185,0.000445625,0.000445625,0.000445625
67,389.7,0.97316,0.6315,1.14217,0.77208,0.68034,0.74358,0.40994,1.56076,0.95805,1.79204,0.00043325,0.00043325,0.00043325
68,396.084,0.96288,0.61543,1.12965,0.69205,0.73976,0.73802,0.40377,1.58558,0.97395,1.81563,0.000420875,0.000420875,0.000420875
69,401.827,0.94785,0.6133,1.12382,0.74393,0.69238,0.73995,0.39184,1.57557,1.00752,1.81332,0.0004085,0.0004085,0.0004085
70,407.646,0.96007,0.62515,1.13504,0.72402,0.67737,0.73785,0.39069,1.59418,0.95637,1.82982,0.000396125,0.000396125,0.000396125
71,412.944,0.93474,0.59191,1.11723,0.72368,0.71028,0.73583,0.40199,1.58466,0.97223,1.83527,0.00038375,0.00038375,0.00038375
72,417.981,0.94006,0.59353,1.12251,0.71866,0.71196,0.72674,0.39376,1.59447,0.99349,1.843,0.000371375,0.000371375,0.000371375
73,423.958,0.93671,0.58541,1.11052,0.76188,0.67478,0.75048,0.40778,1.5963,0.99279,1.82157,0.000359,0.000359,0.000359
74,428.92,0.90617,0.57882,1.08567,0.75711,0.70713,0.74968,0.41308,1.57062,0.94814,1.8143,0.000346625,0.000346625,0.000346625
75,433.973,0.89455,0.56218,1.08746,0.74849,0.68414,0.73061,0.40437,1.54886,0.9521,1.82504,0.00033425,0.00033425,0.00033425
76,438.932,0.90971,0.57092,1.10109,0.72736,0.69761,0.74115,0.41675,1.53185,0.96036,1.81162,0.000321875,0.000321875,0.000321875
77,444.589,0.89822,0.56125,1.09659,0.72704,0.71522,0.73545,0.41454,1.5317,0.9387,1.82163,0.0003095,0.0003095,0.0003095
78,450.222,0.85551,0.54723,1.07576,0.72615,0.70718,0.73175,0.40331,1.57027,0.94534,1.83818,0.000297125,0.000297125,0.000297125
79,455.543,0.85503,0.54447,1.06971,0.7539,0.67546,0.73327,0.41056,1.55808,1.0121,1.83115,0.00028475,0.00028475,0.00028475
80,460.426,0.85516,0.54901,1.07214,0.75472,0.68482,0.73024,0.40527,1.55174,0.99454,1.83829,0.000272375,0.000272375,0.000272375
81,465.183,0.83875,0.54075,1.06065,0.80515,0.67753,0.75273,0.40712,1.55807,0.95953,1.84176,0.00026,0.00026,0.00026
82,470.05,0.8491,0.54361,1.06907,0.75873,0.72212,0.74733,0.40737,1.5447,0.94437,1.8682,0.000247625,0.000247625,0.000247625
83,474.754,0.83312,0.53124,1.07477,0.76787,0.69022,0.75157,0.4195,1.52169,0.93653,1.82722,0.00023525,0.00023525,0.00023525
84,480.262,0.82614,0.53627,1.06077,0.84088,0.64647,0.75342,0.42409,1.52183,0.91966,1.82215,0.000222875,0.000222875,0.000222875
85,486.295,0.81047,0.52402,1.04039,0.8048,0.68048,0.74559,0.42434,1.53733,0.9329,1.84292,0.0002105,0.0002105,0.0002105
86,491.364,0.81616,0.5242,1.04412,0.77667,0.69799,0.73495,0.40417,1.56908,0.95225,1.87729,0.000198125,0.000198125,0.000198125
87,496.154,0.8033,0.51079,1.04177,0.77197,0.70546,0.75589,0.41125,1.56028,0.94463,1.86952,0.00018575,0.00018575,0.00018575
88,500.858,0.79324,0.50668,1.03779,0.74681,0.70881,0.74819,0.41025,1.55058,0.94946,1.90238,0.000173375,0.000173375,0.000173375
89,505.743,0.78486,0.50815,1.0373,0.72142,0.71807,0.73879,0.41828,1.52749,0.95797,1.87931,0.000161,0.000161,0.000161
90,510.563,0.76861,0.49583,1.03072,0.74748,0.70496,0.74076,0.42692,1.52561,0.9553,1.85705,0.000148625,0.000148625,0.000148625
91,521.51,0.913,0.53572,1.17508,0.73494,0.71108,0.73646,0.41366,1.53161,0.9498,1.86392,0.00013625,0.00013625,0.00013625
92,527.687,0.74584,0.43176,1.07017,0.71568,0.72178,0.72654,0.4115,1.51316,0.95879,1.83927,0.000123875,0.000123875,0.000123875
93,532.778,0.70116,0.40913,1.02696,0.73248,0.72758,0.73981,0.42784,1.50973,0.94416,1.84137,0.0001115,0.0001115,0.0001115
94,537.783,0.68034,0.39245,1.0118,0.76239,0.71565,0.75806,0.43616,1.48637,0.89346,1.84579,9.9125e-05,9.9125e-05,9.9125e-05
95,542.704,0.66454,0.38673,1.01367,0.70389,0.74234,0.74479,0.43411,1.49392,0.9169,1.84601,8.675e-05,8.675e-05,8.675e-05
96,548.663,0.65439,0.38064,1.00294,0.77506,0.68918,0.73995,0.43207,1.48087,0.91561,1.86556,7.4375e-05,7.4375e-05,7.4375e-05
97,554.582,0.64454,0.37598,0.99637,0.76962,0.70215,0.74261,0.42852,1.47902,0.91437,1.85847,6.2e-05,6.2e-05,6.2e-05
98,559.473,0.62802,0.37369,0.99067,0.80206,0.69341,0.74816,0.42644,1.48162,0.91166,1.87315,4.9625e-05,4.9625e-05,4.9625e-05
99,564.775,0.62831,0.37171,0.9941,0.81074,0.69489,0.7548,0.43179,1.47727,0.91339,1.86722,3.725e-05,3.725e-05,3.725e-05
100,569.731,0.60994,0.36173,0.96613,0.80669,0.68945,0.75333,0.42798,1.47919,0.91204,1.87433,2.4875e-05,2.4875e-05,2.4875e-05
